"","year","cdaystmin","hdaystmax","maxt","meant","mint","rainsum"
"1","2003",55.3747383112352,37.276517794836,16.1064915383316,11.6365257610085,7.84654481609294,755.195394277739
"2","1988",36.6082809955804,12.9909862758781,14.4066417484793,10.8106379629541,7.71623445401447,937.445882763433
"3","Normale",48.2294318646678,18.2774562648892,14.4488883828065,10.6210776685248,7.32705840813068,881.255316793801
