"year","region","region2016","cdaystmin","hdaystmax","maxt","meant","mint","rainsum"
"2003","Alsace","Grand Est",74.4318181818182,38.5568181818182,15.0169572436696,10.8617766708178,7.28608758821088,605.148484848485
"2003","Aquitaine","Nouvelle-Aquitaine",31.1259484066768,46.7541729893778,18.3288614962479,13.5868060781175,9.60987839607542,959.806676783005
"2003","Auvergne","Auvergne-RhÃ´ne-Alpes",82.9185185185185,35.3197530864198,14.9767157111449,10.3023284288855,6.31100422797226,760.167160493827
"2003","ÃŽle-de-France","ÃŽle-de-France",48.8457446808511,33.4281914893617,15.9320912270475,11.737008160886,7.91736082774701,546.025
"2003","Basse-Normandie","Normandie",34.974358974359,17.2985347985348,14.9153936474484,11.1682924381555,8.01026845300818,704.445421245421
"2003","Bourgogne","Bourgogne-Franche-ComtÃ©",68.678,43.873,16.2573353424658,11.5709863013699,7.44307780821918,689.0658
"2003","Bretagne","Bretagne",24.7429906542056,20.9357476635514,15.8001069005249,11.8422397900397,8.52376968377929,790.665420560748
"2003","Centre","Centre-Val de Loire",51.5081168831169,39.549512987013,16.3835273972603,11.9762564490304,7.97891478384629,651.528733766234
"2003","Champagne-Ardenne","Grand Est",66.6275,35.34375,15.5281335616438,10.9968767123288,7.03038356164384,631.16125
"2003","Corse","Corse",25.4142857142857,46.4178571428571,17.9522426614481,13.9041350293542,10.8636007827789,746.725714285714
"2003","Franche-ComtÃ©","Bourgogne-Franche-ComtÃ©",88.928,39.13,15.1961512328767,10.3791780821918,6.26040547945205,863.8144
"2003","Haute-Normandie","Normandie",40.4105263157895,16.3421052631579,14.6123287671233,11.0525912040375,7.95117087238645,674.504210526316
"2003","Languedoc-Roussillon","Occitanie",44.3972911963883,47.7505643340858,17.1262147870992,12.560082872074,8.9899693868085,980.265914221219
"2003","Limousin","Nouvelle-Aquitaine",61.2097378277154,37.563670411985,16.0137047868247,11.3351259555692,7.32207377764096,972.115355805243
"2003","Lorraine","Grand Est",77.7142857142857,35.3791208791209,14.967500376336,10.5340523859702,6.65097094686136,658.490934065934
"2003","Midi-PyrÃ©nÃ©es","Occitanie",47.336578581363,45.240611961057,16.9344744412902,12.3016903233182,8.43338502867377,801.76662030598
"2003","Nord-Pas-de-Calais","Hauts-de-France",45.2461538461538,15.4769230769231,14.5213094485423,10.7301201264489,7.47055426765016,624.068717948718
"2003","Pays de la Loire","Pays de la Loire",34.3196078431373,34.6098039215686,16.6973080848778,12.4983851732474,8.81695997851195,715.923137254902
"2003","Picardie","Hauts-de-France",52.9449838187702,22.5226537216828,14.9962938333998,10.8630997029747,7.25030278849138,581.67928802589
"2003","Poitou-Charentes","Nouvelle-Aquitaine",35.9075425790754,44.5401459854015,17.6551138219511,13.0042595740426,9.00634336566343,751.393430656934
"2003","Provence-Alpes-CÃ´te d'Azur","Provence-Alpes-CÃ´te d'Azur",78.7369477911647,44.5722891566265,16.3136991802828,11.0445018429884,7.08669582439346,661.110040160643
"2003","RhÃ´ne-Alpes","Auvergne-RhÃ´ne-Alpes",88.0114122681883,36.7874465049929,14.4912922830399,10.0227049420593,6.2745357903582,824.489015691869
"1988","Alsace","Grand Est",48.280303030303,11.219696969697,13.0565919468659,9.94242839352428,7.1461498547115,953.680303030303
"1988","Aquitaine","Nouvelle-Aquitaine",29.9575113808801,23.0432473444613,16.827521566508,12.3709613985491,8.66083023260648,1021.20440060698
"1988","Auvergne","Auvergne-RhÃ´ne-Alpes",60.5975308641975,10.4,12.9854456282767,9.28886927109758,6.07806595636733,1006.08962962963
"1988","ÃŽle-de-France","ÃŽle-de-France",23.1595744680851,10.0984042553191,14.5357388516467,11.1614747886913,8.17447245700962,795.636170212766
"1988","Basse-Normandie","Normandie",13.8681318681319,3.13919413919414,13.4939695920518,10.7142857142857,8.22497265291786,928.272893772894
"1988","Bourgogne","Bourgogne-Franche-ComtÃ©",39.63,12.915,14.2501506849315,10.6440964383562,7.49208438356164,963.9278
"1988","Bretagne","Bretagne",9.95327102803738,3.62032710280374,14.4225752144412,11.2139598002817,8.54539943669185,934.334813084112
"1988","Centre","Centre-Val de Loire",27.8814935064935,11.211038961039,14.8683579434264,11.3058183597225,8.06847046788828,748.25
"1988","Champagne-Ardenne","Grand Est",35.465,8.0275,13.6828369863014,10.4081808219178,7.4333602739726,991.3575
"1988","Corse","Corse",12.8214285714286,19.2071428571429,16.2170254403131,13.0447808219178,10.3527945205479,680.645
"1988","Franche-ComtÃ©","Bourgogne-Franche-ComtÃ©",61.376,10.728,13.1016493150685,9.62153534246575,6.54161643835616,1338.8836
"1988","Haute-Normandie","Normandie",17.9947368421053,2.69736842105263,13.2251377072819,10.3999178082192,7.8490064888248,915.337894736842
"1988","Languedoc-Roussillon","Occitanie",31.1106094808126,23.7189616252822,15.4341296886113,11.8085655091376,8.8469198181762,863.299548532731
"1988","Limousin","Nouvelle-Aquitaine",30.434456928839,10.1947565543071,13.9141829562362,10.622802319019,7.76743625262942,1154.89812734082
"1988","Lorraine","Grand Est",44.6565934065934,7.53021978021978,13.016564052386,9.90297606503086,7.07657082643384,1053.77527472527
"1988","Midi-PyrÃ©nÃ©es","Occitanie",39.6509040333797,20.9937413073713,15.3297189780327,11.2174077390592,7.81386286127994,942.715994436718
"1988","Nord-Pas-de-Calais","Hauts-de-France",17.2410256410256,3.17179487179487,13.1809961362838,10.2729104320337,7.74630979978925,880.762051282051
"1988","Pays de la Loire","Pays de la Loire",16.7372549019608,8.63725490196078,15.2548976631749,11.7717996239592,8.72384474885845,808.486470588235
